Country Name,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Portugal,41070,42770,46770,45790,47300,50690,48740,50930,55600,62210,61660,61380,65599.99847,60520.00046,62130.00107,65470.00122,60450.00076,58799.99924,56840.00015,56299.99924,50939.99863,49869.99893,48220.00122,46560.00137,45930.00031,49849.99847,48759.99832,53330.00183,49500,44639.99939
Puerto Rico,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,12540,14980,14680,16610,18490,19050,20940,25390,26500,29000,28660,28650,32500,34740.00168,37069.99969,38540.00092,43770.00046,49830.00183,53040.00092,54069.99969,60580.00183,68190.00244,75080.00183,76169.99817,81660.00366,84779.99878,86919.99817,87540.00092,86419.99817,91970.00122
Romania,172630,142760,126190,117700,115160,120880,124210,113610,99540,84990,89020,95230,93739.99786,98139.99939,95349.99847,94709.99908,99260.00214,96730.00336,95419.99817,80709.99908,77620.00275,84059.99756,81849.99847,72089.99634,71540.00092,73319.99969,71589.99634,74209.99908,75190.00244,73949.99695
Russian Federation,2163530,2136440,2030810,1880250,1685050,1635490,1601180,1489510,1487970,1523720,1563850,1567170,1565339.966,1610000,1600979.98,1611979.98,1654849.976,1658150.024,1655189.941,1546670.044,1617829.956,1699089.966,1675760.01,1632680.054,1611959.961,1592560.059,1571520.02,1594550.049,1661000,1703589.966
Rwanda,550,500,500,510,470,460,480,510,510,530,540,560,560.0000024,550.0000119,560.0000024,550.0000119,550.0000119,579.9999833,560.0000024,589.9999738,600.0000238,680.0000072,750,810.0000024,860.0000143,980.0000191,1159.999967,1190.000057,1289.999962,1330.000043
Samoa,90,100,100,110,100,120,130,130,150,150,150,160,170.0000018,170.0000018,189.9999976,209.9999934,200.000003,200.000003,170.0000018,180.0000072,189.9999976,200.000003,200.000003,200.000003,209.9999934,239.9999946,300.0000119,310.0000024,289.9999917,300.0000119
San Marino,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,50,50,40,40,50,50,50,50,50,50,50,50,59.99999866,70.0000003,70.0000003,79.99999821,79.99999821,79.99999821,90.00000358,90.00000358,100.0000015,100.0000015,119.9999973,119.9999973,119.9999973,119.9999973,129.9999952,140.0000006,140.0000006,150.000006
Saudi Arabia,171410,187930,202040,203260,206360,204830,217650,220070,233900,239520,249660,254090,272250,284829.9866,299890.0146,315290.0085,335440.0024,354619.9951,389720.0012,406529.9988,446130.0049,463769.989,492470.0012,503209.9915,540520.0195,565190.0024,561229.9805,545070.0073,521260.0098,523780.0293
Senegal,2330,2330,2570,2510,2610,2760,2930,3210,3600,3960,4060,4460,4579.999924,4489.999771,5389.999866,5670.000076,5570.000172,6199.999809,6440.000057,6670.000076,7030.00021,7570.000172,7449.999809,8010.000229,8569.999695,9289.999962,10130.00011,9800.000191,10180.00031,10619.99989
Serbia,61910,52200,47990,42720,38900,44550,51650,56310,56210,40010,43990,45000,48580.00183,52150.00153,56349.99847,50689.99863,53009.99832,51459.99908,49830.00183,46869.99893,47099.99847,51229.99954,45790.00092,46470.00122,38959.99908,45389.99939,46619.99893,47340.00015,46130.00107,45950.00076
Seychelles,150,170,180,190,210,200,240,280,290,310,290,320,349.999994,340.0000036,379.9999952,379.9999952,389.9999857,400.000006,419.9999869,449.9999881,439.9999976,409.9999964,430.0000072,419.9999869,469.9999988,509.9999905,579.9999833,579.9999833,579.9999833,610.0000143
Sierra Leone,320,340,320,330,350,240,310,230,250,200,330,440,500,550.0000119,529.9999714,449.9999881,589.9999738,500,519.9999809,519.9999809,560.0000024,740.0000095,860.0000143,1039.999962,1149.999976,910.0000262,930.0000072,939.9999976,860.0000143,899.9999762
Singapore,28970,30470,31410,36160,37980,37580,38520,38160,37050,37800,42120,42030,41290.00092,38159.99985,39619.99893,36900.00153,37169.99817,38290.00092,38419.99817,38830.00183,42409.99985,44770.00046,43689.99863,43909.99985,44400.00153,45430.00031,46099.99847,49139.99939,47400.00153,47380.00107
Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,54810,47940,46100,44320,41700,42370,42170,42270,41400,40660,38070,38580,38069.99969,38330.00183,37430.00031,38520.00046,37869.99893,37189.99863,37099.99847,33909.99985,35430.00031,34119.99893,32349.99847,32919.99817,30440.00053,30750,31500,33580.00183,33000,31079.99992
Slovenia,13530,12740,12830,13560,13610,14470,15290,15730,15500,14910,14540,15380,15520.00046,15409.99985,15699.99981,15920.00008,16290.00092,16280.00069,17360.00061,15510.00023,15779.99973,15699.99981,15119.99989,14550.00019,13109.99966,13140.00034,13899.99962,14119.99989,14069.99969,13600.00038
Solomon Islands,150,160,170,180,190,200,210,210,220,230,240,250,259.9999905,270.0000107,310.0000024,340.0000036,340.0000036,340.0000036,319.9999928,330.0000131,340.0000036,349.999994,349.999994,389.9999857,340.0000036,310.0000024,360.0000143,349.999994,360.0000143,360.0000143
Somalia,730,710,680,640,630,600,570,550,520,500,490,510,569.9999928,579.9999833,579.9999833,579.9999833,579.9999833,620.0000048,620.0000048,610.0000143,629.9999952,629.9999952,629.9999952,649.9999762,649.9999762,649.9999762,660.0000262,660.0000262,660.0000262,689.9999976
South Africa,247660,242330,238820,246490,252140,264310,274110,289030,296490,278410,284660,320540,331320.0073,353089.9963,379989.9902,377649.9939,379790.0085,397059.9976,426739.9902,404200.0122,425309.9976,409260.0098,426779.9988,436920.0134,447929.9927,424809.9976,425140.0146,435649.9939,434350.0061,439640.0146
South Sudan,430,410,360,250,340,360,370,450,390,420,460,530,670.0000167,750,949.9999881,910.0000262,1000,1169.999957,1240.00001,1289.999962,1309.999943,1279.999971,1419.999957,1450.000048,1529.999971,1970.000029,1730.000019,1519.999981,1549.999952,1700.000048
Spain,214950,222100,232370,218080,228450,240570,230110,248600,256220,278300,293310,294790,312750,318660.0037,335559.9976,350500,341779.9988,354679.9927,324269.989,287489.9902,273250,274399.9939,269269.989,242809.9976,240960.0067,256279.9988,247029.9988,263450.0122,257040.0085,239979.9957
Sri Lanka,3840,3990,5250,5090,5770,5820,8360,8340,8610,9500,10930,10850,11390.00034,12409.99985,12869.99989,13979.99954,12399.99962,13590.00015,12810.00042,12289.99996,13069.99969,15420.00008,16850.00038,14479.99954,17600.00038,20360.00061,21930.00031,23360.00061,21690.00053,23780.00069
