Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,AUS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.24973011,13.35091972,13.59171963,14.06530952,13.20401955,15.01692009,14.29701996,14.77005959,14.24612045,,,,13.36015987,,,,,13.58512974,13.17819977,13.03026962,12.59972,13.42166996,14.32400036,13.48499966,13.17440033,14.04139042,13.88379002,14.08578968,13.80438995,13.60235977,13.47729015,12.84535027,14.43000031,
Austria,AUT,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.28604031,11.51311016,11.75020981,11.75971031,11.0731802,,10.50611973,9.740949631,,11.29195023,12.15056992,11.03322029,10.85632038,10.53232956,10.73962021,9.873330116,10.26185036,10.37458038,10.45228958,10.55515003,10.58393002,10.78913021,10.9884901,10.70118046,10.74028969,10.41116047,10.69347954,10.94363022,10.89597988,10.71942043,10.73365974,8.890000343,
Azerbaijan,AZE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.40279007,24.11672974,,18.75694084,21.60498047,21.11907959,20.87755013,13.63072014,15.17084026,14.23503971,13.22315025,10.10042,9.779370308,7.763840199,9.343930244,8.700839996,7.219860077,5.643670082,6.464129925,7.238729954,7.631100178,8.199999809,6.970160007,7.409120083,8.290690422,10.5025301,11.4832201
Burundi,BDI,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.86403084,18.12272072,,16.75643921,23.79244041,16.71360016,,,13.51863956,10.73526001,11.43313026,12.48608017,,9.179080009,10.95926952,,,12.61553955,16.30168915,16.58810043,14.97929955,16.42831993,17.24325943,23.84000015,27.49724007,20.78461075,19.76485062,19.51926041,21.22216988,20.74194908,20.43853951
Belgium,BEL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,10.27493954,9.252189636,,,,8.609390259,8.183400154,8.165590286,,,,,10.18002987,10.28120995,5.828969955,5.897059917,,,,,,,,,11.17551994,,,12.47245026,11.81054974,11.95765018,11.6301403,11.06992149,11.81567955,11.85340977,12.00967979,12.16495037,12.34889984,12.21549988,12.23050976,11.18999958,
Benin,BEN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.46174049,17.88518906,13.51319981,15.31058025,14.12907982,16.68252945,19.2139492,18.79039001,19.70960999,14.94869041,19.08857918,18.17561913,26.14396095,20.95630074,25.02131081,22.34122086,22.22771072,17.4795208,18.79140091,19.87965012,17.70918083,,,
Burkina Faso,BFA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.212820053,,,,,,19.94968033,,7.34017992,,,,,,,,,19.49419022,18.20170021,17.86381912,,,16.17281914,19.50061035,15.89538002,16.16527939,19.36811066,18.02708054,,21.44400024,22.66116905,20.88945007,21.11171722,21.5619545
Bangladesh,BGD,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,5.263599873,6.634029865,6.394110203,6.473259926,8.087619781,8.388629913,9.130049706,10.46842957,,,11.19102955,11.06210041,12.53666973,12.11384964,,,,15.19686985,,18.12978935,20.49041939,18.58477974,15.69379997,16.68162918,15.95312023,,17.33653069,18.15340042,17.81619072,14.02987003,21,16.79397011,12.27794361,11.81209469,13.30632782,12.04410267,13.98173618,13.85498238,11.95792007,11.32936764,10.38743782,10.22130299
Bulgaria,BGR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.951020241,,,9.277739525,9.654319763,11.18025017,6.703000069,12.07252026,12.01047993,11.11392021,12.61225986,12.65674973,11.16341972,11.10004997,10.69091988,11.43980026,9.427497864,9.708580017,9.731773376,12.73095036,11.79002953,11.70670986,9.550000191,
Bahrain,BHR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.91866016,11.02672958,10.55867004,13.81999969,11.69999981,11.39999962,8.179829597,7.458600044,8.684029579,7.32818985,9.850000381,10.78999996,9.890000343,8.489999771,9.366903305,9.080582619
